Model,Noise_Level,Mean_Distance,Std_Error,Std_Dev,Min_Distance,Max_Distance,Median_Distance,Sample_Count
JEPA,0.01,0.8702762,0.0010336563356311546,0.07990638,0.39380363,0.9866711,0.8818337,5976
JEPA,0.05,0.87266773,0.0010342279626480125,0.07995057,0.39705876,0.9917129,0.88409495,5976
JEPA,0.1,0.87348425,0.0010310602565001344,0.07970569,0.40005392,0.98915577,0.88487095,5976
JEPA,0.15,0.87425464,0.0010268481817205463,0.07938008,0.4041583,1.0005472,0.88553464,5976
JEPA,0.2,0.8756185,0.0010230561289506475,0.07908694,0.40157932,0.9929093,0.88685405,5976
ENCODER_DECODER,0.01,0.41078007,0.0013652836628442909,0.1055427,0.29832914,1.1854712,0.39452648,5976
ENCODER_DECODER,0.05,0.41234264,0.0014016929594482985,0.1083573,0.29867202,1.2052716,0.39571452,5976
ENCODER_DECODER,0.1,0.41295132,0.0014457210582243868,0.11176088,0.3005247,1.230652,0.3961029,5976
ENCODER_DECODER,0.15,0.4134297,0.0014881121506134692,0.1150379,0.29517937,1.2455416,0.39600998,5976
ENCODER_DECODER,0.2,0.41399902,0.0015209947273050067,0.11757988,0.29938027,1.2723311,0.39629704,5976
